Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,SWDIR,T2MMAX,T2MMIN,T2MWET,T2M,PRECTOTCORR
ARH1_2016,20160330,0.533288153,0.697928186,0.836193274,0.943244055,1.356663368,-0.468870273,0.309838318,0.404630776,0.558705456,0.419864114,5.642549397
ARH1_2016,20160506,-0.155309003,0.182971149,1.060119856,-1.129746897,-0.553265027,1.81565059,0.441392733,0.270133146,0.314258515,0.432325354,-0.433761125
ARH1_2016,20161111,-0.538984838,-0.229758795,1.188602321,-1.942486971,-0.139969046,-0.333585797,0.521505999,0.211576355,0.023338772,0.258758074,-0.433761125
ARH1_2016,20160116,-0.870157663,-0.717964816,0.935308318,0.450394444,-0.033514021,-0.896420267,-0.908726618,-0.667690465,-0.776922887,-0.819139245,-0.433761125
ARH1_2016,20160114,-0.476385096,-0.167658224,0.91695368,0.691361801,0.730457337,-0.290192663,-0.20035669,-0.446272598,-0.257356955,-0.336711213,-0.433761125
ARH1_2016,20160326,-0.205792666,0.128513726,1.00872687,0.187597292,-0.40923764,1.14050448,0.284539392,-0.234919179,0.091189063,0.05492778,-0.433761125
ARH1_2016,20160225,-0.870157663,-0.686436835,1.228982524,-0.07519986,0.573905829,0.137357331,-0.631281729,-0.663115716,-0.680259458,-0.662483648,-0.433761125
ARH1_2016,20160718,1.754992784,1.416384014,1.170247683,-1.060899081,-0.847581861,1.502964774,1.591650569,1.616024397,1.551364517,1.650856675,-0.4179374
ARH1_2016,20160327,0.349527621,0.562262325,0.968346666,0.843330761,0.254540753,-0.431858482,0.550178115,0.098122572,0.43787617,0.313943568,-0.017597149
ARH1_2016,20160325,-0.563216996,-0.26797453,1.00872687,0.260643146,-0.296520554,0.575117474,-0.266977195,-0.452677247,-0.309406494,-0.342051745,-0.433761125
ARH1_2016,20160115,-0.217908744,0.092208777,0.590241127,0.591448506,0.968415629,-0.872171162,-0.043503348,-0.275176973,0.005679107,-0.075915248,-0.421102145
ARH1_2016,20160429,1.076492361,1.039003626,0.843535129,1.184211411,-0.114920805,-1.409480259,0.443922626,0.803548917,0.869143777,0.694901497,5.723250396
ARH1_2016,20160109,-0.304740644,-0.020527643,0.707710809,1.148108288,1.168801559,-1.414585334,-0.378292469,-0.56430113,-0.16441135,-0.295767137,2.360708766
ARH1_2016,20160713,1.569212906,1.316067708,1.00872687,-1.087766521,0.411092261,1.630591638,1.562978453,1.566617104,1.46120728,1.573418965,-0.433761125
ARH1_2016,20160321,-0.773229031,-0.551726367,1.390503337,-0.327082114,-0.258948192,1.061375825,-0.288902931,-0.743631304,-0.514816281,-0.470224506,-0.433761125
ARH1_2016,20160328,-0.488501175,-0.158104291,1.184931393,-0.027342231,-0.165017287,1.338326119,-0.024950803,-0.273347074,-0.163481894,-0.16492411,-0.433761125
ARH1_2016,20160102,-0.995357146,-0.911909674,1.394174265,-0.201140987,-0.540740906,-0.466317735,-0.640558002,-0.919301678,-0.88195142,-0.840501372,-0.433761125
ARH1_2016,20160104,-1.06805362,-1.06286183,1.467592816,0.240492566,0.686622915,-0.96789131,-1.111961323,-1.001647166,-1.087361207,-1.092396452,-0.433761125
ARH1_2016,20160111,-1.167001599,-1.303620964,1.291388293,-0.53110674,-0.252686132,-0.361663707,-1.173522043,-1.085822553,-1.25373384,-1.185855757,-0.433761125
ARH1_2016,20160106,-0.870157663,-0.703633916,1.317084786,0.397499171,-0.190065529,-0.370597588,-0.638028109,-0.808592744,-0.751827574,-0.784425789,-0.433761125
ARH1_2016,20160112,-0.908525247,-0.769556059,1.239995307,0.250567856,0.079203065,-0.327204454,-0.516593265,-0.825976792,-0.798300376,-0.812908625,-0.433761125
ARH1_2016,20160107,-0.512733333,-0.220204861,0.968346666,1.556997148,0.079203065,-1.554974884,-0.768739227,-0.470976244,-0.398634275,-0.559233368,-0.163175422
ARH1_2016,20160324,0.052683686,0.297618356,0.755432867,0.297585877,1.506952816,0.005901661,0.042513,-0.123295296,0.243619855,0.188441073,0.472938336
ARH1_2016,20160903,0.608003973,0.767671903,0.990372232,-1.150737085,-0.40923764,1.32811597,1.240838795,0.966409993,0.952794821,1.109682794,-0.433761125
ARH1_2016,20160221,0.694835873,0.83454944,0.986701304,1.221154142,0.38604402,-1.052125041,0.271046632,0.757801424,0.666522358,0.499082001,-0.082474423
ARH1_2016,20160501,1.187556418,1.120212064,0.865560694,0.229577668,-0.578313268,0.664456278,0.895930104,1.105482373,1.064329547,0.994861362,0.053609615
ARH1_2016,20160714,2.061933452,1.545362122,0.983030377,-0.059247317,-0.309044675,0.610852995,1.124463735,1.706604434,1.510468451,1.45414709,0.887519939
ARH1_2016,20160329,-0.365321039,-0.037724724,1.140880262,-0.38921307,0.19192015,1.270683882,0.209485912,-0.200151084,0.001961283,0.038906184,-0.433761125
ARH1_2016,20160404,0.064799765,0.36927286,1.104170987,-0.38921307,-0.027251961,1.352365074,0.631134678,0.094462772,0.405345208,0.432325354,-0.433761125
